index,target,source,flow
0,01-142,04-38060,38
1,01-142,04-536,17
2,01-142,04-99999,10
3,01-142,05-99999,311
4,01-142,06-260,10
5,01-142,06-348,203
6,01-142,06-41740,23
7,01-142,06-472,13
8,01-142,06-488,108
9,01-142,06-99999,30
10,01-142,08-216,52
11,01-142,08-99999,28
12,01-142,09-25540,26
13,01-142,09-408,362
14,01-142,09-99999,7
15,01-142,10-428,200
16,01-142,10-99999,4
17,01-142,11-47900,77
18,01-142,12-300,143
19,01-142,12-370,142
20,01-142,12-422,161
21,01-142,12-45300,164
22,01-142,12-99999,249
23,01-142,13-496,25
24,01-142,13-99999,14
25,01-142,16-99999,28
26,01-142,17-176,392
27,01-142,17-476,120
28,01-142,17-99999,151
29,01-142,18-258,66
30,01-142,18-294,195
31,01-142,18-99999,208
32,01-142,19-99999,108
33,01-142,20-312,137
34,01-142,20-556,22
35,01-142,20-99999,48
36,01-142,21-178,148
37,01-142,21-350,16
38,01-142,21-99999,100
39,01-142,22-12940,43
40,01-142,22-29340,30
41,01-142,22-406,14
42,01-142,22-99999,204
43,01-142,23-99999,35
44,01-142,24-12580,75
45,01-142,24-99999,21
46,01-142,25-148,152
47,01-142,25-99999,18
48,01-142,26-220,167
49,01-142,26-266,102
50,01-142,26-99999,129
51,01-142,27-378,83
52,01-142,27-99999,44
53,01-142,28-99999,2
54,01-142,29-99999,112
55,01-142,30-99999,27
56,01-142,31-420,29
57,01-142,31-99999,29
58,01-142,32-332,10
59,01-142,32-99999,11
60,01-142,33-99999,16
61,01-142,35-99999,29
62,01-142,36-104,21
63,01-142,36-160,79
64,01-142,36-464,27
65,01-142,36-99999,85
66,01-142,37-172,111
67,01-142,37-268,165
68,01-142,37-450,134
69,01-142,37-99999,171
70,01-142,38-99999,29
71,01-142,39-184,164
72,01-142,39-198,197
73,01-142,39-212,57
74,01-142,39-99999,204
75,01-142,40-416,62
76,01-142,40-538,37
77,01-142,40-99999,49
78,01-142,41-440,79
79,01-142,41-99999,18
80,01-142,42-430,91
81,01-142,42-99999,207
82,01-142,45-16700,48
83,01-142,45-99999,113
84,01-142,46-99999,18
85,01-142,47-99999,4
86,01-142,48-12420,30
87,01-142,48-13140,28
88,01-142,48-204,2
89,01-142,48-206,271
90,01-142,48-238,34
91,01-142,48-288,238
92,01-142,48-29700,28
93,01-142,48-41700,60
94,01-142,48-99999,345
95,01-142,49-482,40
96,01-142,49-99999,6
97,01-142,50-99999,18
98,01-142,51-40060,78
99,01-142,51-545,60
100,01-142,51-99999,171
101,01-142,53-500,28
102,01-142,53-99999,24
103,01-142,54-99999,117
104,01-142,55-376,99
105,01-142,55-99999,144
106,01-142,56-99999,15
107,01-380,04-38060,13
108,01-380,04-536,8
109,01-380,04-99999,1
110,01-380,05-99999,103
111,01-380,06-348,75
112,01-380,06-41740,26
113,01-380,06-472,7
114,01-380,06-488,19
115,01-380,06-99999,8
116,01-380,08-216,14
117,01-380,08-99999,9
118,01-380,09-25540,11
119,01-380,09-408,103
120,01-380,09-99999,3
121,01-380,10-428,59
122,01-380,10-99999,2
123,01-380,11-47900,24
124,01-380,12-300,97
125,01-380,12-370,73
126,01-380,12-422,52
127,01-380,12-45300,57
128,01-380,12-99999,59
